Service_Category,Material_Shape,Is_Fragile,Length_cm,Width_cm,Height_cm,Volume_cm3,Actual_Weight_kg,Density,Target_Divisor
Interiors,Wrapped,1,90.1,76.5,19.9,137163.73,37.9,0.000276,3500
Painting,Cylindrical,0,36.4,35.1,49.5,63243.18,20.5,0.000324,4500
Interiors,Box,0,106.0,94.5,52.8,528897.6,50.3,9.5e-05,5000
Construction,Irregular,0,55.0,74.3,30.7,125455.55,96.1,0.000766,4500
Interiors,Box,0,106.1,62.7,59.4,395156.72,24.2,6.1e-05,5000
Construction,Irregular,0,78.2,42.0,39.1,128420.04,72.6,0.000565,4500
Solar Services,Box,1,163.1,108.9,8.2,145645.04,29.7,0.000204,3500
Construction,Irregular,0,55.6,43.2,27.5,66052.8,71.8,0.001087,4500
Interiors,Wrapped,1,104.5,137.3,17.7,253956.95,16.9,6.7e-05,3500
Construction,Irregular,0,54.7,45.6,34.3,85555.18,58.5,0.000684,4500
Painting,Cylindrical,0,29.1,34.0,34.0,33639.6,10.4,0.000309,4500
Solar Services,Box,1,193.5,86.8,9.3,156200.94,29.0,0.000186,3500
Solar Services,Box,1,170.1,97.1,8.3,137088.69,21.2,0.000155,3500
Interiors,Wrapped,1,64.1,103.7,10.2,67801.13,16.8,0.000248,3500
Interiors,Box,0,128.9,75.1,85.2,824769.23,50.3,6.1e-05,5000
Painting,Cylindrical,0,30.2,24.3,41.6,30528.58,23.0,0.000753,4500
Construction,Irregular,0,80.5,84.8,33.6,229367.04,87.9,0.000383,4500
Interiors,Box,0,95.7,59.5,80.0,455532.0,17.9,3.9e-05,5000
Interiors,Wrapped,1,143.5,42.2,10.5,63584.85,33.0,0.000519,3500
Interiors,Box,0,128.3,92.2,58.9,696743.41,16.4,2.4e-05,5000
Interiors,Wrapped,1,113.3,40.1,11.6,52702.63,28.2,0.000535,3500
Construction,Irregular,0,90.8,99.7,40.6,367542.06,63.6,0.000173,4500
Interiors,Box,0,190.1,81.6,85.9,1332494.54,26.1,2e-05,5000
Interiors,Box,0,183.4,98.0,72.6,1304854.32,45.6,3.5e-05,5000
Solar Services,Box,1,186.5,101.2,7.3,137778.74,24.4,0.000177,3500
Interiors,Wrapped,1,59.3,120.1,5.2,37034.04,27.4,0.00074,3500
Interiors,Box,0,66.6,52.0,86.8,300605.76,30.6,0.000102,5000
Construction,Irregular,0,59.6,45.0,36.3,97356.6,76.2,0.000783,4500
Interiors,Box,0,147.2,75.9,93.2,1041275.14,56.6,5.4e-05,5000
Painting,Cylindrical,0,29.4,22.2,48.1,31393.91,24.9,0.000793,4500
Interiors,Box,0,52.8,65.3,69.4,239280.1,16.8,7e-05,5000
Painting,Cylindrical,0,20.2,32.5,41.3,27113.45,29.6,0.001092,4500
Solar Services,Box,1,178.7,105.7,8.3,156775.3,28.4,0.000181,3500
Painting,Cylindrical,0,35.9,33.4,32.0,38369.92,17.1,0.000446,4500
Interiors,Box,0,83.4,98.9,81.1,668933.89,58.9,8.8e-05,5000
Solar Services,Box,1,190.1,92.3,4.6,80712.66,23.7,0.000294,3500
Interiors,Wrapped,1,80.0,127.6,15.9,162307.2,36.9,0.000227,3500
Painting,Cylindrical,0,37.3,27.2,34.8,35306.69,20.0,0.000566,4500
Construction,Irregular,0,94.5,96.0,27.3,247665.6,55.2,0.000223,4500
Solar Services,Box,1,187.2,103.1,4.6,88781.47,24.9,0.00028,3500
Interiors,Box,0,67.8,86.4,50.6,296410.75,36.1,0.000122,5000
Construction,Irregular,0,49.3,55.5,45.7,125042.05,72.8,0.000582,4500
Painting,Cylindrical,0,24.2,30.6,44.8,33175.3,15.6,0.00047,4500
Solar Services,Box,1,217.6,108.6,7.9,186687.74,19.1,0.000102,3500
Interiors,Box,0,179.0,62.7,64.8,727269.84,39.5,5.4e-05,5000
Solar Services,Box,1,171.1,89.3,8.1,123761.76,24.1,0.000195,3500
Painting,Cylindrical,0,37.5,37.2,32.9,45895.5,16.0,0.000349,4500
Construction,Irregular,0,99.9,79.1,23.5,185699.11,86.7,0.000467,4500
Solar Services,Box,1,170.6,91.3,9.6,149527.49,20.0,0.000134,3500
Construction,Irregular,0,79.3,81.8,23.1,149843.69,96.1,0.000641,4500
Interiors,Box,0,138.9,87.7,76.6,933105.2,20.8,2.2e-05,5000
Solar Services,Box,1,180.1,107.9,6.7,130199.69,29.5,0.000227,3500
Interiors,Wrapped,1,68.4,79.3,13.4,72683.21,38.4,0.000528,3500
Construction,Irregular,0,44.7,59.2,29.2,77270.21,59.3,0.000767,4500
Interiors,Box,0,59.4,54.1,95.3,306250.36,31.9,0.000104,5000
Painting,Cylindrical,0,32.1,39.2,39.4,49577.81,21.3,0.00043,4500
Interiors,Box,0,200.0,82.9,77.4,1283292.0,24.3,1.9e-05,5000
Painting,Cylindrical,0,26.6,36.2,31.8,30620.86,12.3,0.000402,4500
Construction,Irregular,0,66.6,97.9,40.4,263413.66,98.7,0.000375,4500
Construction,Irregular,0,46.6,31.7,20.2,29839.84,73.0,0.002446,4500
Interiors,Box,0,142.9,94.3,85.1,1146762.5,52.2,4.6e-05,5000
Construction,Irregular,0,55.1,76.8,49.5,209468.16,73.2,0.000349,4500
Construction,Irregular,0,68.3,53.3,27.6,100474.76,81.7,0.000813,4500
Construction,Irregular,0,83.3,87.8,29.7,217218.08,75.0,0.000345,4500
Interiors,Wrapped,1,65.7,126.4,11.4,94671.07,33.3,0.000352,3500
Painting,Cylindrical,0,32.2,32.2,34.8,36082.03,12.7,0.000352,4500
Interiors,Box,0,193.9,68.6,95.5,1270297.07,33.4,2.6e-05,5000
Construction,Irregular,0,92.3,80.7,34.3,255487.32,49.1,0.000192,4500
Interiors,Wrapped,1,115.4,124.6,18.3,263132.77,37.7,0.000143,3500
Painting,Cylindrical,0,23.4,25.7,45.0,27062.1,16.4,0.000606,4500
Painting,Cylindrical,0,31.9,37.3,32.4,38551.79,19.2,0.000498,4500
Interiors,Box,0,191.5,89.0,82.1,1399271.35,21.8,1.6e-05,5000
Painting,Cylindrical,0,24.0,36.2,44.7,38835.36,19.1,0.000492,4500
Interiors,Wrapped,1,45.7,58.1,16.3,43279.27,25.0,0.000578,3500
Painting,Cylindrical,0,24.6,21.4,35.6,18741.26,10.4,0.000555,4500
Interiors,Box,0,193.5,64.0,88.2,1092268.8,45.0,4.1e-05,5000
Construction,Irregular,0,31.2,36.9,23.8,27400.46,84.4,0.00308,4500
Interiors,Box,0,145.7,68.2,77.9,774072.05,21.2,2.7e-05,5000
Solar Services,Box,1,161.2,84.9,9.4,128647.27,18.4,0.000143,3500
Interiors,Wrapped,1,96.9,84.4,7.3,59702.03,12.2,0.000204,3500
Solar Services,Box,1,188.7,84.6,9.4,150061.79,28.3,0.000189,3500
Interiors,Box,0,131.9,68.9,67.4,612525.13,57.8,9.4e-05,5000
Painting,Cylindrical,0,29.5,21.9,43.9,28361.59,21.9,0.000772,4500
Interiors,Wrapped,1,80.5,121.0,18.3,178251.15,19.2,0.000108,3500
Solar Services,Box,1,163.6,81.8,5.4,72265.39,26.0,0.00036,3500
Interiors,Box,0,87.5,51.4,99.1,445702.25,15.3,3.4e-05,5000
Interiors,Wrapped,1,41.8,113.0,18.7,88327.58,13.0,0.000147,3500
Painting,Cylindrical,0,34.3,35.6,48.1,58733.95,12.2,0.000208,4500
Construction,Irregular,0,95.7,61.8,20.1,118876.63,94.3,0.000793,4500
Painting,Cylindrical,0,23.6,32.4,36.7,28062.29,19.5,0.000695,4500
Solar Services,Box,1,180.2,106.6,8.8,169042.02,22.0,0.00013,3500
Solar Services,Box,1,167.9,90.0,8.3,125421.3,25.7,0.000205,3500
Construction,Irregular,0,80.0,75.0,27.1,162600.0,97.7,0.000601,4500
Painting,Cylindrical,0,28.1,37.8,41.0,43549.38,17.2,0.000395,4500
Construction,Irregular,0,42.9,94.3,38.4,155346.05,98.3,0.000633,4500
Interiors,Wrapped,1,89.3,55.4,9.2,45514.42,25.8,0.000567,3500
Construction,Irregular,0,94.6,74.9,23.3,165093.08,40.8,0.000247,4500
Solar Services,Box,1,167.8,92.1,4.1,63362.96,18.7,0.000295,3500
Interiors,Wrapped,1,58.0,105.3,17.6,107490.24,35.7,0.000332,3500
Painting,Cylindrical,0,39.3,23.8,35.8,33485.17,15.7,0.000469,4500
Interiors,Wrapped,1,111.0,79.8,13.8,122237.64,17.3,0.000142,3500
Interiors,Wrapped,1,148.9,142.8,19.3,410374.36,31.5,7.7e-05,3500
Painting,Cylindrical,0,32.6,29.7,30.6,29627.53,13.5,0.000456,4500
Solar Services,Box,1,200.3,80.2,7.9,126906.07,29.7,0.000234,3500
Painting,Cylindrical,0,20.7,26.3,46.2,25151.74,19.1,0.000759,4500
Painting,Cylindrical,0,29.1,24.3,35.1,24820.26,29.3,0.00118,4500
Interiors,Box,0,150.7,88.0,63.8,846090.08,30.7,3.6e-05,5000
Construction,Irregular,0,41.1,50.1,26.4,54360.5,78.1,0.001437,4500
Interiors,Box,0,101.4,95.7,68.9,668604.22,42.8,6.4e-05,5000
Solar Services,Box,1,218.2,85.3,5.6,104229.78,20.8,0.0002,3500
Interiors,Wrapped,1,141.9,69.5,6.7,66075.74,36.9,0.000558,3500
Solar Services,Box,1,172.3,99.1,5.1,87082.14,19.3,0.000222,3500
Solar Services,Box,1,192.0,104.4,6.4,128286.72,21.5,0.000168,3500
Construction,Irregular,0,38.9,67.9,45.7,120707.87,74.5,0.000617,4500
Interiors,Wrapped,1,86.8,85.3,5.8,42943.43,29.3,0.000682,3500
Interiors,Wrapped,1,138.4,81.3,19.8,222788.02,12.8,5.7e-05,3500
Painting,Cylindrical,0,26.1,35.9,46.1,43195.24,21.4,0.000495,4500
Interiors,Wrapped,1,140.4,127.5,12.0,214812.0,25.2,0.000117,3500
Construction,Irregular,0,85.6,33.4,50.0,142952.0,80.1,0.00056,4500
Interiors,Wrapped,1,51.8,106.0,18.0,98834.4,36.8,0.000372,3500
Interiors,Wrapped,1,82.9,42.7,11.7,41416.01,36.7,0.000886,3500
Solar Services,Box,1,175.5,95.1,6.1,101809.3,25.2,0.000248,3500
Construction,Irregular,0,71.6,92.5,34.9,231142.7,59.7,0.000258,4500
Interiors,Box,0,115.7,75.8,86.0,754225.16,34.0,4.5e-05,5000
Painting,Cylindrical,0,33.0,36.1,46.4,55276.32,18.5,0.000335,4500
Interiors,Wrapped,1,74.8,42.5,8.6,27339.4,28.2,0.001031,3500
Interiors,Box,0,188.8,89.7,96.0,1625794.56,21.0,1.3e-05,5000
Solar Services,Box,1,176.4,87.9,8.4,130246.7,23.1,0.000177,3500
Painting,Cylindrical,0,36.6,34.4,32.2,40541.09,25.5,0.000629,4500
Construction,Irregular,0,38.7,54.9,38.5,81798.26,94.1,0.00115,4500
Construction,Irregular,0,31.4,41.8,22.9,30056.71,54.4,0.00181,4500
Solar Services,Box,1,166.6,90.7,8.5,128440.27,18.0,0.00014,3500
Solar Services,Box,1,182.9,80.1,9.9,145037.87,18.3,0.000126,3500
Painting,Cylindrical,0,37.8,30.1,40.0,45511.2,12.7,0.000279,4500
Construction,Irregular,0,60.0,61.0,21.5,78690.0,73.7,0.000937,4500
Painting,Cylindrical,0,34.7,35.2,44.8,54720.51,15.0,0.000274,4500
Construction,Irregular,0,44.2,81.8,44.5,160892.42,78.0,0.000485,4500
Interiors,Wrapped,1,74.6,112.7,6.2,52126.0,36.4,0.000698,3500
Solar Services,Box,1,214.3,108.8,8.8,205179.39,18.1,8.8e-05,3500
Construction,Irregular,0,67.8,37.1,33.5,84265.23,42.3,0.000502,4500
Interiors,Box,0,105.2,59.3,86.5,539618.14,56.4,0.000105,5000
Construction,Irregular,0,95.9,65.4,37.4,234567.56,49.7,0.000212,4500
Painting,Cylindrical,0,22.8,31.0,35.3,24950.04,26.8,0.001074,4500
Solar Services,Box,1,196.2,83.9,9.1,149796.74,28.9,0.000193,3500
Painting,Cylindrical,0,28.4,37.4,49.7,52789.35,14.3,0.000271,4500
Interiors,Wrapped,1,112.3,124.9,18.6,260888.62,28.0,0.000107,3500
Construction,Irregular,0,40.1,51.5,46.5,96029.48,43.9,0.000457,4500
Interiors,Wrapped,1,141.4,58.2,6.7,55137.52,24.7,0.000448,3500
Interiors,Wrapped,1,93.1,130.5,10.6,128785.23,27.5,0.000214,3500
Solar Services,Box,1,178.0,101.9,5.8,105201.56,29.3,0.000279,3500
Solar Services,Box,1,173.3,85.0,6.7,98694.35,24.5,0.000248,3500
Painting,Cylindrical,0,26.9,37.9,34.1,34765.29,22.0,0.000633,4500
Painting,Cylindrical,0,34.6,27.9,32.4,31277.02,21.3,0.000681,4500
Interiors,Wrapped,1,99.9,91.7,16.7,152985.86,23.5,0.000154,3500
Construction,Irregular,0,50.8,95.1,33.5,161841.18,48.4,0.000299,4500
Solar Services,Box,1,188.7,98.3,5.1,94600.97,20.6,0.000218,3500
Interiors,Box,0,109.5,87.7,51.2,491681.28,53.4,0.000109,5000
Construction,Irregular,0,95.1,66.8,46.3,294129.08,42.0,0.000143,4500
Solar Services,Box,1,150.7,82.5,6.2,77083.05,21.7,0.000282,3500
Interiors,Wrapped,1,136.6,117.5,18.3,293724.15,12.3,4.2e-05,3500
Solar Services,Box,1,205.8,95.4,8.8,172773.22,21.4,0.000124,3500
Construction,Irregular,0,66.6,90.7,39.8,240416.68,50.4,0.00021,4500
Painting,Cylindrical,0,36.6,20.8,44.8,34105.34,17.1,0.000501,4500
Interiors,Box,0,104.3,80.6,95.9,806191.02,37.1,4.6e-05,5000
Interiors,Wrapped,1,46.4,72.4,15.4,51734.14,36.2,0.0007,3500
Interiors,Box,0,106.3,61.8,70.8,465109.27,51.7,0.000111,5000
Interiors,Box,0,139.3,94.0,99.1,1297635.22,34.3,2.6e-05,5000
Solar Services,Box,1,156.9,100.9,8.9,140897.77,29.9,0.000212,3500
Painting,Cylindrical,0,32.7,35.0,32.4,37081.8,24.5,0.000661,4500
Painting,Cylindrical,0,24.4,26.4,37.6,24220.42,11.7,0.000483,4500
Construction,Irregular,0,43.8,86.8,29.3,111393.91,56.5,0.000507,4500
Interiors,Wrapped,1,108.2,65.6,14.0,99370.88,32.6,0.000328,3500
Solar Services,Box,1,165.2,103.9,6.7,115000.68,28.2,0.000245,3500
Interiors,Wrapped,1,134.3,97.0,10.8,140692.68,30.5,0.000217,3500
Solar Services,Box,1,164.5,106.0,4.7,81953.9,18.5,0.000226,3500
Solar Services,Box,1,219.1,87.2,9.8,187234.1,19.6,0.000105,3500
Painting,Cylindrical,0,27.3,34.9,44.3,42207.71,17.9,0.000424,4500
Solar Services,Box,1,171.6,108.9,9.7,181266.23,29.9,0.000165,3500
Interiors,Box,0,123.7,97.1,69.4,833582.14,21.8,2.6e-05,5000
Construction,Irregular,0,51.3,84.4,24.7,106944.08,75.1,0.000702,4500
Construction,Irregular,0,63.1,59.8,22.8,86033.06,46.8,0.000544,4500
Interiors,Wrapped,1,146.9,148.8,17.6,384713.47,24.3,6.3e-05,3500
Construction,Irregular,0,99.8,83.5,41.4,344998.62,49.2,0.000143,4500
Painting,Cylindrical,0,27.3,37.3,41.6,42360.86,22.2,0.000524,4500
Solar Services,Box,1,181.6,101.3,8.1,149008.25,25.0,0.000168,3500
Solar Services,Box,1,202.5,93.4,8.0,151308.0,23.6,0.000156,3500
Construction,Irregular,0,42.9,93.8,27.3,109855.75,76.4,0.000695,4500
Painting,Cylindrical,0,25.4,23.1,39.9,23410.93,14.9,0.000636,4500
Solar Services,Box,1,162.2,85.4,8.2,113585.42,22.1,0.000195,3500
Construction,Irregular,0,57.9,46.7,47.3,127895.89,47.2,0.000369,4500
Solar Services,Box,1,161.8,82.7,7.4,99018.36,19.5,0.000197,3500
Construction,Irregular,0,73.6,96.5,24.7,175429.28,87.2,0.000497,4500
Solar Services,Box,1,176.5,94.1,5.3,88025.84,24.7,0.000281,3500
Interiors,Box,0,81.5,50.2,98.2,401765.66,18.7,4.7e-05,5000
Interiors,Wrapped,1,126.7,41.6,6.7,35313.82,14.1,0.000399,3500
Painting,Cylindrical,0,26.2,36.5,33.6,32131.68,13.7,0.000426,4500
Interiors,Wrapped,1,109.1,88.6,10.0,96662.6,21.9,0.000227,3500
Painting,Cylindrical,0,31.5,24.9,40.4,31687.74,24.4,0.00077,4500
Interiors,Wrapped,1,140.1,46.5,14.0,91205.1,14.3,0.000157,3500
Painting,Cylindrical,0,26.1,26.3,39.9,27388.56,23.7,0.000865,4500
Interiors,Wrapped,1,45.5,93.3,13.5,57309.52,36.7,0.00064,3500
Interiors,Box,0,122.3,80.3,54.0,530317.26,55.6,0.000105,5000
Interiors,Wrapped,1,46.8,141.6,17.6,116633.09,14.5,0.000124,3500
Solar Services,Box,1,177.9,105.9,5.4,101733.89,20.5,0.000202,3500
Interiors,Box,0,90.0,78.2,56.2,395535.6,47.5,0.00012,5000
Painting,Cylindrical,0,32.3,20.1,39.3,25514.74,17.0,0.000666,4500
Interiors,Box,0,71.4,96.6,92.4,637304.98,39.3,6.2e-05,5000
Interiors,Box,0,157.2,72.8,67.1,767903.14,55.6,7.2e-05,5000
Interiors,Box,0,120.7,73.1,84.5,745557.86,49.5,6.6e-05,5000
Interiors,Wrapped,1,107.8,75.9,14.2,116184.68,18.0,0.000155,3500
Painting,Cylindrical,0,27.1,31.2,32.3,27310.3,19.6,0.000718,4500
Solar Services,Box,1,219.4,109.3,5.4,129494.27,26.6,0.000205,3500
Solar Services,Box,1,212.2,90.9,6.2,119591.68,19.1,0.00016,3500
Painting,Cylindrical,0,27.1,35.2,41.6,39683.07,15.7,0.000396,4500
Solar Services,Box,1,174.3,109.8,9.4,179898.52,24.7,0.000137,3500
Construction,Irregular,0,62.2,90.7,26.8,151193.27,56.2,0.000372,4500
Construction,Irregular,0,36.1,68.2,30.6,75337.81,89.7,0.001191,4500
Interiors,Box,0,194.7,52.2,85.9,873030.91,39.1,4.5e-05,5000
Construction,Irregular,0,93.9,91.9,35.9,309795.82,78.0,0.000252,4500
Interiors,Box,0,110.2,53.3,68.7,403520.44,24.2,6e-05,5000
Construction,Irregular,0,68.6,97.8,25.8,173094.26,66.8,0.000386,4500
Painting,Cylindrical,0,30.2,35.1,32.6,34556.65,14.3,0.000414,4500
Solar Services,Box,1,196.0,95.7,4.3,80655.96,20.7,0.000257,3500
Solar Services,Box,1,170.2,108.8,6.5,120365.44,23.7,0.000197,3500
Interiors,Box,0,165.2,59.1,90.8,886509.46,19.0,2.1e-05,5000
Painting,Cylindrical,0,37.6,23.8,49.8,44565.02,10.3,0.000231,4500
Painting,Cylindrical,0,34.2,38.9,42.0,55875.96,19.9,0.000356,4500
Painting,Cylindrical,0,23.6,39.4,42.8,39797.15,29.3,0.000736,4500
Painting,Cylindrical,0,25.7,30.8,47.5,37599.1,26.1,0.000694,4500
Painting,Cylindrical,0,30.7,28.3,44.0,38227.64,19.7,0.000515,4500
Painting,Cylindrical,0,22.1,28.1,36.7,22791.07,25.8,0.001132,4500
Interiors,Wrapped,1,108.7,59.6,14.8,95882.1,37.8,0.000394,3500
Interiors,Box,0,115.9,59.1,87.2,597292.97,35.0,5.9e-05,5000
Construction,Irregular,0,70.7,52.1,39.3,144760.37,79.9,0.000552,4500
Solar Services,Box,1,205.1,83.5,8.3,142144.55,19.2,0.000135,3500
Solar Services,Box,1,216.4,96.8,5.0,104737.6,25.6,0.000244,3500
Interiors,Wrapped,1,62.2,42.7,9.7,25762.62,36.4,0.001413,3500
Interiors,Box,0,101.4,69.1,65.6,459642.14,30.8,6.7e-05,5000
Solar Services,Box,1,211.5,108.8,7.5,172584.0,26.4,0.000153,3500
Construction,Irregular,0,84.1,66.2,30.5,169806.31,52.2,0.000307,4500
Painting,Cylindrical,0,36.8,36.6,35.0,47140.8,16.5,0.00035,4500
Interiors,Wrapped,1,74.2,101.4,12.9,97058.05,20.2,0.000208,3500
Interiors,Box,0,193.6,75.9,97.8,1437096.67,27.6,1.9e-05,5000
Interiors,Wrapped,1,70.6,119.7,15.6,131832.79,24.6,0.000187,3500
Construction,Irregular,0,85.5,58.4,42.2,210713.04,79.3,0.000376,4500
Interiors,Box,0,151.6,64.0,52.7,511316.48,18.3,3.6e-05,5000
Solar Services,Box,1,157.8,84.8,9.1,121771.1,20.8,0.000171,3500
Interiors,Wrapped,1,69.8,108.9,16.9,128460.62,35.1,0.000273,3500
Interiors,Box,0,142.0,70.5,63.9,639702.9,52.0,8.1e-05,5000
Interiors,Wrapped,1,45.5,97.2,9.3,41130.18,23.0,0.000559,3500
Interiors,Box,0,165.0,95.1,73.9,1159601.85,22.3,1.9e-05,5000
Interiors,Box,0,178.9,88.9,70.8,1126018.07,49.0,4.4e-05,5000
Interiors,Box,0,170.3,92.9,63.6,1006207.33,22.1,2.2e-05,5000
Painting,Cylindrical,0,30.7,21.8,48.2,32258.33,26.1,0.000809,4500
Construction,Irregular,0,94.4,34.7,35.8,117269.34,75.0,0.00064,4500
Interiors,Wrapped,1,122.4,70.5,6.7,57815.64,33.8,0.000585,3500
Painting,Cylindrical,0,39.0,39.4,43.1,66227.46,23.1,0.000349,4500
Interiors,Wrapped,1,83.8,49.9,5.9,24671.56,35.2,0.001427,3500
Interiors,Box,0,188.1,61.8,84.8,985764.38,40.3,4.1e-05,5000
Interiors,Wrapped,1,83.1,125.6,17.5,182653.8,19.9,0.000109,3500
Solar Services,Box,1,186.8,89.0,6.1,101413.72,20.3,0.0002,3500
Interiors,Wrapped,1,101.8,45.6,19.5,90520.56,26.9,0.000297,3500
Construction,Irregular,0,45.7,65.9,48.4,145762.89,43.7,0.0003,4500
Interiors,Box,0,78.6,72.4,57.7,328349.93,30.7,9.3e-05,5000
Interiors,Wrapped,1,85.4,49.3,7.5,31576.65,14.2,0.00045,3500
Solar Services,Box,1,160.6,83.2,8.6,114912.51,26.5,0.000231,3500
Interiors,Wrapped,1,82.9,87.5,16.9,122588.38,19.1,0.000156,3500
Interiors,Wrapped,1,64.3,77.3,6.2,30816.42,33.4,0.001084,3500
Painting,Cylindrical,0,36.2,38.7,49.8,69766.81,16.7,0.000239,4500
Interiors,Wrapped,1,76.5,43.5,8.8,29284.2,19.6,0.000669,3500
Interiors,Box,0,175.1,65.3,96.9,1107957.51,21.0,1.9e-05,5000
Interiors,Box,0,186.2,56.4,91.5,960903.72,16.6,1.7e-05,5000
Solar Services,Box,1,161.7,101.4,9.7,159044.89,22.6,0.000142,3500
Construction,Irregular,0,51.3,76.2,48.0,187634.88,79.5,0.000424,4500
Interiors,Wrapped,1,83.6,53.2,6.2,27574.62,24.5,0.000888,3500
Interiors,Box,0,50.0,54.0,99.0,267300.0,53.9,0.000202,5000
Painting,Cylindrical,0,23.8,32.9,42.5,33278.35,28.1,0.000844,4500
Construction,Irregular,0,53.8,96.5,33.8,175479.46,92.8,0.000529,4500
Interiors,Box,0,56.7,90.8,62.0,319198.32,43.6,0.000137,5000
Painting,Cylindrical,0,21.9,34.2,45.3,33928.79,17.3,0.00051,4500
Interiors,Wrapped,1,42.7,104.8,12.6,56384.5,26.7,0.000474,3500
Interiors,Box,0,188.6,60.1,76.2,863716.33,18.4,2.1e-05,5000
Solar Services,Box,1,160.2,83.6,7.2,96427.58,24.6,0.000255,3500
Interiors,Box,0,111.1,64.1,57.9,412335.43,44.3,0.000107,5000
Construction,Irregular,0,42.9,30.7,33.7,44383.91,44.6,0.001005,4500
Interiors,Wrapped,1,135.3,74.5,5.4,54431.19,23.7,0.000435,3500
Painting,Cylindrical,0,21.3,36.8,49.3,38643.31,10.4,0.000269,4500
Interiors,Box,0,64.5,94.1,90.2,547464.39,31.6,5.8e-05,5000
Interiors,Box,0,54.1,84.6,94.5,432513.27,34.4,8e-05,5000
Painting,Cylindrical,0,35.7,29.7,50.0,53014.5,23.6,0.000445,4500
Construction,Irregular,0,90.9,52.4,39.7,189097.45,98.7,0.000522,4500
Interiors,Box,0,129.7,52.1,81.0,547346.97,23.9,4.4e-05,5000
Interiors,Wrapped,1,58.0,83.0,12.1,58249.4,13.5,0.000232,3500
Painting,Cylindrical,0,37.8,37.5,32.2,45643.5,28.1,0.000616,4500
Solar Services,Box,1,170.6,92.9,7.0,110941.18,20.2,0.000182,3500
Interiors,Box,0,101.8,86.0,58.3,510404.84,44.0,8.6e-05,5000
Construction,Irregular,0,80.0,91.6,39.1,286524.8,49.3,0.000172,4500
Interiors,Wrapped,1,69.1,90.9,16.0,100499.04,17.7,0.000176,3500
Solar Services,Box,1,154.1,109.4,8.2,138240.03,28.2,0.000204,3500
Interiors,Wrapped,1,71.7,143.0,16.9,173277.39,25.6,0.000148,3500
Interiors,Wrapped,1,71.3,103.9,19.0,140753.33,24.6,0.000175,3500
Interiors,Box,0,93.3,57.5,98.8,530037.3,21.5,4.1e-05,5000
Interiors,Box,0,64.7,74.6,76.1,367305.78,16.9,4.6e-05,5000
Construction,Irregular,0,48.3,66.5,34.2,109848.69,71.8,0.000654,4500
Solar Services,Box,1,151.7,93.8,6.8,96760.33,27.4,0.000283,3500
Painting,Cylindrical,0,26.5,31.5,37.5,31303.12,23.7,0.000757,4500
Painting,Cylindrical,0,32.4,21.2,32.1,22048.85,25.0,0.001134,4500
Painting,Cylindrical,0,27.0,32.0,34.7,29980.8,25.1,0.000837,4500
Painting,Cylindrical,0,30.9,31.6,40.5,39545.82,17.7,0.000448,4500
Interiors,Wrapped,1,96.7,116.5,6.1,68719.85,28.8,0.000419,3500
Interiors,Box,0,153.0,84.2,58.5,753632.1,49.6,6.6e-05,5000
Interiors,Wrapped,1,112.7,129.5,8.4,122595.06,33.2,0.000271,3500
Interiors,Box,0,77.0,82.8,59.7,380623.32,28.5,7.5e-05,5000
Construction,Irregular,0,83.0,43.2,31.3,112229.28,54.7,0.000487,4500
Interiors,Box,0,95.8,82.4,51.6,407326.27,57.4,0.000141,5000
Painting,Cylindrical,0,24.8,37.7,48.7,45532.55,18.2,0.0004,4500
Construction,Irregular,0,94.2,95.6,34.5,310690.44,87.5,0.000282,4500
Construction,Irregular,0,65.8,76.2,48.2,241672.87,99.0,0.00041,4500
Interiors,Wrapped,1,117.1,56.6,8.3,55011.24,13.0,0.000236,3500
Interiors,Wrapped,1,72.6,41.4,8.1,24345.68,17.2,0.000706,3500
Interiors,Box,0,61.4,76.4,79.5,372931.32,32.6,8.7e-05,5000
Solar Services,Box,1,152.3,82.7,4.5,56678.45,24.4,0.00043,3500
Interiors,Wrapped,1,41.5,134.7,7.8,43602.39,34.7,0.000796,3500
Construction,Irregular,0,81.8,69.7,23.5,133984.31,74.8,0.000558,4500
Interiors,Box,0,136.9,92.1,81.0,1021287.69,58.7,5.7e-05,5000
Interiors,Box,0,196.1,56.1,69.8,767884.46,26.1,3.4e-05,5000
Solar Services,Box,1,172.8,106.4,9.0,165473.28,18.0,0.000109,3500
Interiors,Wrapped,1,40.9,68.0,19.0,52842.8,26.4,0.0005,3500
Painting,Cylindrical,0,26.0,28.1,44.0,32146.4,14.7,0.000457,4500
Construction,Irregular,0,51.9,48.9,21.8,55326.44,77.0,0.001392,4500
Painting,Cylindrical,0,25.4,39.7,39.5,39831.01,27.8,0.000698,4500
Interiors,Box,0,185.0,55.0,91.2,927960.0,37.8,4.1e-05,5000
Interiors,Wrapped,1,104.8,102.2,8.2,87826.59,36.0,0.00041,3500
Interiors,Wrapped,1,148.4,97.2,16.4,236561.47,11.3,4.8e-05,3500
Solar Services,Box,1,184.0,82.6,6.5,98789.6,19.9,0.000201,3500
Solar Services,Box,1,153.5,99.1,8.1,123215.98,23.9,0.000194,3500
Solar Services,Box,1,210.4,83.2,7.1,124287.49,23.2,0.000187,3500
Solar Services,Box,1,158.0,84.4,6.7,89345.84,21.2,0.000237,3500
Construction,Irregular,0,73.5,56.9,44.6,186523.89,40.0,0.000214,4500
